feature,feature_chinese_names,NC-mean,NC-std,NC-range,AD-mean,AD-std,AD-range
STG_R_6_4,右侧颞上回_6_4,1867.066,256.9782,1610.088-2124.0444,1796.914,310.6286,1486.2853-2107.5425
STG_L_6_5,左侧颞上回_6_5,1788.729,219.8619,1568.8668-2008.5907,1582.728,262.0188,1320.7091-1844.7467
STG_R_6_5,右侧颞上回_6_5,2278.205,275.3633,2002.8413-2553.5679,2087.325,311.0592,1776.2655-2398.3838
STG_L_6_6,左侧颞上回_6_6,1999.204,251.8498,1747.3542-2251.054,1820.013,287.7597,1532.2537-2107.7732
STG_R_6_6,右侧颞上回_6_6,1226.754,152.6438,1074.1104-1379.3979,1087.405,163.0817,924.3234-1250.4868
MTG_L_4_1,左侧颞中回_4_1,1851.2,247.4855,1603.7141-2098.6851,1599.085,276.0238,1323.061-1875.1086
MTG_R_4_1,右侧颞中回_4_1,2300.882,312.0485,1988.8336-2612.9307,1989.215,345.8906,1643.3245-2335.1057
MTG_L_4_2,左侧颞中回_4_2,2795.957,381.3384,2414.6184-3177.2952,2414.747,443.9281,1970.8185-2858.6746
MTG_R_4_2,右侧颞中回_4_2,3406.362,462.4727,2943.8896-3868.835,2997.662,539.4499,2458.2122-3537.1121
MTG_L_4_3,左侧颞中回_4_3,2157.381,304.3729,1853.0077-2461.7534,1904.692,298.7469,1605.9451-2203.4387
MTG_R_4_3,右侧颞中回_4_3,2493.041,362.7611,2130.2798-2855.8018,2229.251,382.2567,1846.9943-2611.5078
MTG_L_4_4,左侧颞中回_4_4,2771.943,390.8574,2381.0854-3162.8003,2296.448,416.1961,1880.2522-2712.6443
MTG_R_4_4,右侧颞中回_4_4,4182.503,535.5099,3646.9937-4718.0132,3546.626,566.5435,2980.083-4113.1699
ITG_L_7_1,左侧颞下回_7_1,1307.936,222.9838,1084.9526-1530.9202,1060.693,233.9265,826.7667-1294.6198
ITG_R_7_1,右侧颞下回_7_1,600.3926,95.20601,505.1866-695.5986,523.2972,110.1041,413.1931-633.4013
ITG_L_7_2,左侧颞下回_7_2,1215.271,179.5882,1035.683-1394.8593,1046.366,200.3725,845.9934-1246.7385
ITG_R_7_2,右侧颞下回_7_2,775.9478,118.0228,657.9249-893.9706,684.7847,128.1317,556.653-812.9163
ITG_L_7_3,左侧颞下回_7_3,1870.253,272.0884,1598.1649-2142.3418,1578.664,309.4406,1269.2233-1888.1044
ITG_R_7_3,右侧颞下回_7_3,1621.764,238.6413,1383.1229-1860.4056,1370.983,268.8188,1102.1644-1639.8021
ITG_L_7_4,左侧颞下回_7_4,1462.577,229.9805,1232.5966-1692.5575,1203.772,249.8318,953.9402-1453.6039
ITG_R_7_4,右侧颞下回_7_4,1631.779,241.4,1390.3787-1873.1787,1380.631,289.6025,1091.0283-1670.2332
ITG_L_7_5,左侧颞下回_7_5,1500.782,222.7427,1278.0394-1723.5248,1318.671,243.9066,1074.7646-1562.5776
ITG_R_7_5,右侧颞下回_7_5,1086.399,163.6509,922.7484-1250.0502,957.784,181.692,776.092-1139.476
ITG_L_7_6,左侧颞下回_7_6,1656.288,260.8474,1395.4402-1917.135,1389.12,310.287,1078.8325-1699.4065
ITG_R_7_6,右侧颞下回_7_6,1412.73,221.8295,1190.9005-1634.5594,1191.745,240.1257,951.6198-1431.8712
ITG_L_7_7,左侧颞下回_7_7,2159.75,292.1662,1867.5844-2451.9167,1907.756,346.9303,1560.8257-2254.6863
ITG_R_7_7,右侧颞下回_7_7,2068.561,287.2585,1781.3029-2355.8198,1837.409,322.7159,1514.6934-2160.1252
FuG_L_3_1,左侧梭状回_3_1,3989.461,489.8542,3499.6069-4479.3154,3332.573,600.8549,2731.7178-3933.4277
FuG_R_3_1,右侧梭状回_3_1,4315.223,535.8557,3779.3669-4851.0781,3605.916,652.6826,2953.2334-4258.5986
FuG_L_3_2,左侧梭状回_3_2,3587.971,443.7802,3144.1909-4031.7515,3246.727,484.4842,2762.2427-3731.2109
FuG_R_3_2,右侧梭状回_3_2,2723.746,336.9325,2386.8135-3060.6787,2462.326,366.1437,2096.1826-2828.4702
FuG_L_3_3,左侧梭状回_3_3,3430.843,430.2214,3000.6216-3861.0645,2990.01,495.803,2494.2068-3485.8127
FuG_R_3_3,右侧梭状回_3_3,3508.027,489.6458,3018.3816-3997.6731,3027.643,535.1804,2492.4622-3562.823
PhG_L_6_1,左侧旁海马_6_1,663.3808,105.4513,557.9296-768.832,504.5424,128.6872,375.8553-633.2296
PhG_R_6_1,右侧旁海马_6_1,565.4405,109.0468,456.3937-674.4873,414.8451,123.1423,291.7028-537.9873
PhG_L_6_2,左侧旁海马_6_2,678.9435,81.21068,597.7328-760.1542,584.5943,95.62924,488.9651-680.2235
PhG_R_6_2,右侧旁海马_6_2,802.5795,95.10602,707.4734-897.6855,679.1168,113.2421,565.8747-792.3589
PhG_L_6_3,左侧旁海马_6_3,676.0948,91.29851,584.7963-767.3934,547.1484,99.19559,447.9529-646.344
PhG_R_6_3,右侧旁海马_6_3,597.1028,99.29147,497.8113-696.3942,481.4028,99.97208,381.4308-581.3749
PhG_L_6_4,左侧旁海马_6_4,725.5525,106.2258,619.3267-831.7783,623.7546,123.0458,500.7088-746.8004
PhG_R_6_4,右侧旁海马_6_4,708.0634,101.2069,606.8566-809.2703,593.2476,114.3494,478.8982-707.597
PhG_L_6_5,左侧旁海马_6_5,477.3423,72.22037,405.1219-549.5626,365.4204,81.60196,283.8185-447.0224
